Dwayne Johnson,Chris Hemsworth,2
Dwayne Johnson,Robert Downey Jr,2
Dwayne Johnson,Akshay Kumar,inf
Dwayne Johnson,Jackie Chan,3
Dwayne Johnson,Bradley Cooper,3
Dwayne Johnson,Adam Sandler,3
Dwayne Johnson,Scarlett Johansson,2
Dwayne Johnson,Sofia Vergara,inf
Dwayne Johnson,Chris Evans,2
Chris Hemsworth,Robert Downey Jr,1
Chris Hemsworth,Akshay Kumar,3
Chris Hemsworth,Jackie Chan,inf
Chris Hemsworth,Bradley Cooper,3
Chris Hemsworth,Adam Sandler,3
Chris Hemsworth,Scarlett Johansson,1
Chris Hemsworth,Sofia Vergara,3
Chris Hemsworth,Chris Evans,1
Robert Downey Jr,Akshay Kumar,inf
Robert Downey Jr,Jackie Chan,inf
Robert Downey Jr,Bradley Cooper,inf
Robert Downey Jr,Adam Sandler,inf
Robert Downey Jr,Scarlett Johansson,1
Robert Downey Jr,Sofia Vergara,3
Robert Downey Jr,Chris Evans,1
Akshay Kumar,Jackie Chan,inf
Akshay Kumar,Bradley Cooper,inf
Akshay Kumar,Adam Sandler,inf
Akshay Kumar,Scarlett Johansson,inf
Akshay Kumar,Sofia Vergara,inf
Akshay Kumar,Chris Evans,inf
Jackie Chan,Bradley Cooper,inf
Jackie Chan,Adam Sandler,inf
Jackie Chan,Scarlett Johansson,inf
Jackie Chan,Sofia Vergara,inf
Jackie Chan,Chris Evans,inf
Bradley Cooper,Adam Sandler,inf
Bradley Cooper,Scarlett Johansson,3
Bradley Cooper,Sofia Vergara,inf
Bradley Cooper,Chris Evans,3
Adam Sandler,Scarlett Johansson,inf
Adam Sandler,Sofia Vergara,inf
Adam Sandler,Chris Evans,inf
Scarlett Johansson,Sofia Vergara,inf
Scarlett Johansson,Chris Evans,1
Sofia Vergara,Chris Evans,inf
